"Class with more than 10 MAGs","mean_trans_percent","mean_biofilm_percent","mean_trans_count","mean_biofilm_count","mean_total_ORF","mean_complete_total_ORF","mean_bin_size","# bins total","SRF","DCM","MES"
"Betaproteobacteria",0.309,0.338,13.73,14.5454545454545,4334.8,4500.2,4.665,11,1,0,10
"Gammaproteobacteria",0.213,0.214,6.97,6.50943396226415,2836.4,3231.6,3.077,265,63,51,151
"Actinobacteria",0.212,0.15,7.46,4.95833333333333,2568.8,2951.3,2.677,24,6,7,11
"Sphingobacteria",0.177,0.193,6.57,6.78571428571429,3091.7,3234.2,3.494,14,2,6,6
"Alphaproteobacteria",0.14,0.151,5.51,4.5819397993311,2884.8,3197.6,3.013,299,89,71,139
"OM190",0.109,0.038,4,1.27272727272727,3225.1,3566,4.062,11,2,0,9
"Deltaproteobacteria",0.102,0.057,4.11,2.31428571428571,3935.5,4491.7,4.429,35,15,5,15
"Planctomycetia",0.083,0.052,4.69,2.15625,4301.3,4811.3,5.575,32,5,16,11
"Opitutae",0.051,0.026,2,0.8125,2594.6,2800.9,3.006,16,10,5,1
"Phycisphaerae",0.049,0.023,1.95,0.904761904761905,2952,3322,3.472,21,6,11,4
"Gemmatimonadetes",0.043,0.089,1.95,2.57894736842105,3263.7,3725.8,3.645,19,0,9,10
"Flavobacteria",0.037,0.101,1.3,2.87741935483871,2148.1,2419,2.395,155,78,33,44
"Others Or Unknown",0.035,0.067,1.06,1.88167938931298,1835.8,2199.9,2.055,262,83,104,75
"Verrucomicrobiae",0.025,0.052,1.11,1.64864864864865,2876.9,3305.5,3.584,37,15,19,3
"novelClass_E",0.02,0.071,0.61,1.41935483870968,1873.6,2183.9,1.932,31,5,14,12
"Acidimicrobidae",0.01,0.014,0.34,0.38,2035.1,2394,2.083,50,12,24,14
"SAR202-2",0.009,0.02,0.2,0.28,1482.2,1770.8,1.538,25,2,15,8
